# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jun  7 22:34:14 2015
#
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
#
rowid,kepoi_name,kepler_name,koi_period,koi_prad,koi_teq,koi_insol
1,K00001.01,Kepler-1 b,2.470613385000,12.85000,1344.0,772.22
2,K00002.01,Kepler-2 b,2.204735365000,16.39000,2025.0,3973.70
3,K00003.01,Kepler-3 b,4.887802706000,4.84000,801.0,97.10
4,K00004.01,,3.849371501000,13.10000,2035.0,4055.29
5,K00005.01,,4.780327766000,7.07000,1396.0,898.71
7,K00006.01,,1.334104268000,50.73000,2166.0,5207.55
8,K00007.01,Kepler-4 b,3.213668628000,4.14000,1507.0,1218.92
9,K00008.01,,1.160153243000,2.00000,1752.0,2229.29
10,K00009.01,,3.719807963000,7.85000,1271.0,616.10
11,K00010.01,Kepler-8 b,3.522498573000,14.83000,1521.0,1264.67
12,K00011.01,,3.747839179000,10.47000,1031.0,266.76
13,K00012.01,Kepler-448 b,17.855219698000,14.63000,942.0,186.24
14,K00013.01,Kepler-13 b,1.763587569000,25.80000,3560.0,37958.27
15,K00014.01,,2.947375658000,5.89000,2405.0,7903.84
16,K00015.01,,3.012476803000,92.01000,2290.0,6499.85
17,K00016.01,,0.895278174000,12.63000,4255.0,77480.31
18,K00017.01,Kepler-6 b,3.234699312000,13.41000,1355.0,797.62
19,K00018.01,Kepler-5 b,3.548465405000,15.28000,1640.0,1708.28
20,K00019.01,,1.203200978000,33.12000,2124.0,4809.16
21,K00020.01,Kepler-12 b,4.437963030000,18.22000,1338.0,757.65
22,K00021.01,,4.288515363000,34.59000,1395.0,895.40
23,K00022.01,Kepler-422 b,7.891448474000,12.24000,1000.0,235.93
24,K00023.01,,4.693305532000,17.99000,1398.0,902.15
25,K00024.01,,2.086076093000,7.70000,1502.0,1203.00
26,K00025.01,,3.132604970000,22.44000,1444.0,1028.81
27,K00026.01,,15.039462910000,12.72000,956.0,197.80
28,K00027.01,,1.141876914000,115.17000,2182.0,5358.79
29,K00028.01,,4.100870444000,83.05000,1412.0,939.61
30,K00031.01,,0.925588053000,45.27000,6642.0,460202.18
31,K00033.01,,0.366197825000,63.09000,9970.0,2335438.28
32,K00041.01,Kepler-100 c,12.815883780000,2.28000,946.0,189.05
33,K00041.02,Kepler-100 b,6.887060370000,1.31000,1163.0,432.81
34,K00041.03,Kepler-100 d,35.333086600000,1.50000,674.0,48.89
35,K00042.01,Kepler-410 A b,17.833682110000,2.47000,859.0,128.66
36,K00043.01,,11.320277960000,621.07000,811.0,102.12
37,K00044.01,,66.467518640000,11.94000,462.0,10.80
38,K00045.01,,6.397189809000,13.98000,981.0,218.59
39,K00046.01,Kepler-101 b,3.487689428000,4.36000,1291.0,656.81
40,K00046.02,Kepler-101 c,6.029795180000,0.91000,1075.0,315.74
41,K00048.01,,23.836805340000,208.11000,919.0,168.28
42,K00049.01,,8.313783059000,2.69000,886.0,145.51
43,K00051.01,,10.431147960000,49.78000,833.0,114.02
44,K00052.01,,2.987862296000,17.74000,1065.0,303.85
45,K00053.01,,3.388886432000,11.50000,1213.0,511.30
46,K00061.01,,1.633460327000,23.30000,1749.0,2211.18
47,K00063.01,Kepler-63 b,9.434151089000,5.57000,789.0,91.83
48,K00064.01,,1.951082340000,10.29000,2007.0,3833.73
50,K00066.01,,0.436282471000,291.72000,5520.0,219414.23
51,K00068.01,,1.000840758000,75.84000,2222.0,5760.53
52,K00069.01,Kepler-93 b,4.726739475000,1.59000,1039.0,275.99
53,K00070.01,Kepler-20 c,10.854097835000,3.03000,765.0,80.88
54,K00070.02,Kepler-20 b,3.696119675000,2.11000,1095.0,340.33
55,K00070.03,Kepler-20 d,77.611598700000,2.62000,397.0,5.87
56,K00070.04,Kepler-20 e,6.098536720000,0.82000,927.0,174.30
57,K00070.05,Kepler-20 f,19.577628600000,0.99000,628.0,36.82
58,K00072.01,Kepler-10 b,0.837491331000,1.45000,1968.0,3545.07
59,K00072.02,Kepler-10 c,45.294317170000,2.28000,521.0,17.41
60,K00074.01,,5.188670548000,4.46000,2118.0,4759.70
61,K00075.01,,105.882392800000,10.50000,596.0,29.76
62,K00076.01,,77.479718800000,8.22000,695.0,55.30
63,K00080.01,,9.250589180000,864.51000,1966.0,3530.57
64,K00081.01,,23.876092290000,10.30000,1480.0,1135.60
65,K00082.01,Kepler-102 e,16.145690772000,2.52000,549.0,21.46
66,K00082.02,Kepler-102 d,10.311737520000,1.40000,638.0,39.04
67,K00082.03,Kepler-102 f,27.453729400000,0.79000,460.0,10.58
68,K00082.04,Kepler-102 c,7.071360760000,0.58000,723.0,64.54
69,K00082.05,Kepler-102 b,5.286954370000,0.49000,797.0,95.21
70,K00084.01,Kepler-19 b,9.286968825000,2.13000,764.0,80.48
71,K00085.01,Kepler-65 c,5.859938722000,2.55000,1236.0,552.06
72,K00085.02,Kepler-65 b,2.154909039000,1.50000,1726.0,2097.40
73,K00085.03,Kepler-65 d,8.131224840000,1.76000,1109.0,357.04
74,K00087.01,Kepler-22 b,289.864456000000,2.17000,267.0,1.21
